#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:52 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/163/226&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51630226
#Name: J/AJ/163/226
#Title: Classifying Be Star Variability with TESS I. (Labadie-Bartz+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/163/226	    IVOID of underlying data collection
#INFO	creator=Labadie-Bartz J.	    First author or institution
#INFO	cites=bibcode:2022AJ....163..226L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/163/226	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51630226	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-10-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_163_226_table2:
#Name: J/AJ/163/226/table2
#Title: Table of full (including the non-Be stars)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TIC	(I10)	Input Catalog identifier	[ucd=meta.id;meta.table]
#Column	OName	(a19)	Common name	[ucd=meta.id;meta.main]
#Column	SpT	(a10)	Spectral type, BeSS database	[ucd=src.spType]
#Column	q	(I1)	[0/1] Data quality (1)	[ucd=meta.code.qual]
#Column	Be	(A1)	Be type (2)	[ucd=src.class]
#Column	signals	(a13)	Signals (3)	[ucd=meta.code]
#Column	Ns	(I1)	[0/8]? Number of group identified in light curve	[ucd=meta.number]
#Column	tgs	(A1)	Typical groups (4)	[ucd=meta.code]
#Column	fg1	(F5.2)	[0/3.28]? Central frequency of g1	[ucd=em.freq]
#Column	fg2	(F5.2)	[0.8/6.53]? Central frequency of g2	[ucd=em.freq]
#Column	gratio	(A4)	Stronger group?	[ucd=meta.code]
#Column	Tmag	(F5.2)	[4.05/12.73] TESS Magnitude	[ucd=phot.mag;em.opt.I]
#Column	contratio	(F7.4)	[0.0001/14.7] Contamination ratio (5)	[ucd=meta.code]
#Column	RAJ2000	(F16.12)	[0.93/360] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	[-80.2/18.6] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SectorsC1	(a29)	TESS Sectors, C1	[ucd=obs.field]
#Column	SectorsC3	(a32)	TESS Sectors, C3	[ucd=obs.field]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	TIC	OName	SpT	q	Be	signals	Ns	tgs	fg1	fg2	gratio	Tmag	contratio	RAJ2000	DEJ2000	SectorsC1	SectorsC3	Simbad
     260	 258306961	HD 143700          	B1.5Vne   	1	Y	S/L/G        	3	Y	 1.58	 3.12	g2  	 8.74	 0.0998	241.009060000000	-47.47611000000	12                           	39                              	Simbad
     261	 258704817	CO Cir             	B2.5Ve    	1	Y	L/F+/G       	3	Y	 1.25	 2.40	sim.	 6.06	 0.1481	222.185625000000	-66.59356111110	12                           	38-39                           	Simbad
     262	 259449942	V378 Pup           	B2.5Ve    	1	Y	G            	4	Y	 0.93	 1.88	g2  	 5.76	 0.0353	114.016208333000	-14.49277222220	7                            	34                              	Simbad
     263	 260640910	mu Pic             	B9Ve      	1	Y	I+/G         	4	Y	 2.29	 4.40	g1  	 5.81	 0.0515	097.992958333300	-58.75383611110	1-2-3-4-5-6-8-9-10-11-12-13  	27-28-29-30-31-32-33-34-35-36-37	Simbad
     264	 261862960	mu02 Cru           	B5Vne     	0	 	             	 	 	     	     	    	 5.27	 2.6170	193.653708333000	-57.16866944440	11                           	37-38                           	Simbad
     265	 261992444	HD 112147          	Be        	1	Y	S/L/F/G      	3	Y	 1.49	 3.69	sim.	 8.61	 0.2389	193.785210000000	-59.01875000000	11                           	37-38                           	Simbad
     266	 261993378	lam Cru            	B3Vne     	1	Y	G            	5	Y	 3.25	 6.11	sim.	 4.78	 0.0096	193.663250000000	-59.14670000000	11                           	37-38                           	Simbad
     267	 263805130	HD 256577          	B2IVpe    	1	Y	S/L/G        	1	N	     	     	    	 9.69	 0.0229	096.000720000000	+08.30068000000	6                            	33                              	Simbad
     268	 263875550	HD 126527          	B9Ve      	0	 	             	 	 	     	     	    	 8.87	 0.0824	216.985270000000	-55.46971000000	11                           	38                              	Simbad
     269	 264459943	25 Ori             	B1Vpe     	1	Y	L/F+/G       	3	Y	 1.37	 2.73	sim.	 4.75	 0.0008	081.186791666700	+01.84644444444	6                            	32                              	Simbad
     270	 264631173	V1372 Ori          	B2Vne     	1	Y	G            	2	Y	 2.80	 5.56	g1  	 7.51	 0.0030	082.201915000000	+02.16470700000	6                            	32                              	Simbad
     271	 265555524	HD 43913           	Be        	1	Y	I+/G         	1	Y	 0.99	 1.97	g1  	 7.74	 0.0047	094.743570000000	+04.19135000000	6                            	33                              	Simbad
     272	 266322419	HD 64109           	B8e       	0	 	             	 	 	     	     	    	 8.09	 0.0014	118.094330000000	+03.84315000000	7                            	34                              	Simbad
     273	 266656195	BT CMi             	B2Vne     	1	Y	L/F+/G       	3	Y	 1.90	 3.60	sim.	 7.96	 0.0017	119.266660000000	+02.95083000000	7                            	34                              	Simbad
     274	 267105647	HD 145301          	B9IVne    	0	 	             	 	 	     	     	    	 9.51	 0.4008	243.179830000000	-52.17728000000	12                           	39                              	Simbad
     275	 268351249	HD 102423          	B9.5Ve    	1	Y	I/L          	0	N	     	     	    	 9.02	 0.1516	176.778550000000	-59.05629000000	10-11                        	37                              	Simbad
     276	 269087549	19 Mon             	B1Ve      	1	U	             	 	 	     	     	    	 5.19	 0.0037	105.728250000000	-04.23923333333	7                            	33                              	Simbad
     277	 269870654	HD 86272           	B5Vne     	1	Y	G            	4	Y	 2.38	 4.85	sim.	 9.45	 0.1242	148.752300000000	-63.54136000000	9-11                         	36                              	Simbad
     278	 270934336	OR Vel             	B3Vne     	1	Y	G            	1	N	     	     	    	 8.72	 0.0356	132.086940000000	-46.91050000000	8-9                          	35-36                           	Simbad
     279	 270991656	HD 108051          	B8IIIe    	0	 	             	 	 	     	     	    	 9.18	 0.0718	186.288120000000	-59.66286000000	11                           	37-38                           	Simbad
     280	 271190727	HD 75658           	B2.5ne    	1	Y	L/G          	4	Y	 0.84	 1.92	sim.	 7.74	 0.0258	132.353120000000	-47.48866000000	8-9                          	35-36                           	Simbad
     281	 271379300	HD 70461           	B6Ve      	1	Y	G            	3	Y	 1.30	 2.70	g1  	 8.83	 0.0191	125.305870000000	-26.33314000000	7-8                          	34                              	Simbad
     282	 271614171	HD 138131          	B6Vne     	1	Y	G            	3	Y	 1.59	 3.30	sim.	 8.99	 0.0989	233.297040000000	-60.90935000000	12                           	38-39                           	Simbad
     283	 274590119	HD 143140          	B8IIIe    	0	 	             	 	 	     	     	    	 9.31	 0.0868	240.291380000000	-52.77873000000	12                           	39                              	Simbad
     284	 274907223	HD 86689           	A3ne      	1	Y	G            	4	Y	 1.88	 3.88	sim.	10.19	 0.0505	149.534750000000	-59.67188000000	9-10                         	36-37                           	Simbad
     285	 275927504	HD 143545          	B1.5Vne   	1	Y	G            	4	Y	 1.54	 3.22	g1  	 8.45	 0.4848	240.788580000000	-48.72269000000	12                           	39                              	Simbad
     286	 278313134	HD 139314          	B2e       	1	Y	S/L/F+/G     	2	N	     	     	    	 9.33	 0.2630	235.071320000000	-58.06383000000	12                           	39                              	Simbad
     287	 279307075	HD 139491          	B9IVe     	0	 	             	 	 	     	     	    	 8.69	 1.6422	235.347200000000	-58.77487000000	12                           	39                              	Simbad
     288	 279430029	HD 53048           	B6Vne     	1	Y	G            	4	Y	 1.77	 3.56	g1  	 7.95	 0.0037	105.043300000000	-56.90700000000	1-2-3-4-5-6-7-8-9-10-11-12-13	27-28-29-30-32-33-34-35-36-37-38	Simbad
     289	 280117704	CoRoT 102667801    	B7V       	0	 	             	 	 	     	     	    	12.73	 0.4811	100.744491000000	-00.80712700000	6                            	33                              	Simbad
     290	 280643259	EM* RJHA 51        	B5Ib      	1	Y	S/I/L/G      	3	Y	 0.92	 1.74	g1  	11.94	 0.1251	101.288672000000	-01.25571300000	6                            	33                              	Simbad
     291	 280835427	HD 83597           	B2Ve      	1	Y	S/L/F+/G     	3	Y	 1.45	 2.69	sim.	 9.05	 0.0302	144.462040000000	-53.68035000000	9-10                         	36-37                           	Simbad
     292	 281047621	ome Ori            	B2IIIe    	1	Y	G            	3	Y	 1.07	 2.11	g1  	 4.57	 0.0012	084.796458333300	+04.12146666667	6                            	                                	Simbad
     293	 281643356	V907 Cen           	B2.5Ve    	1	Y	L/F+/G       	3	Y	 1.06	 2.34	sim.	 8.66	 0.1848	170.582180000000	-61.07346000000	10-11                        	37-38                           	Simbad
     294	 281717549	HD 49787           	B1Ve      	1	Y	L/G          	3	Y	 1.69	 3.13	sim.	 7.64	 0.0218	102.481356000000	-05.51312700000	6                            	33                              	Simbad
     295	 281741629	BG Phe             	B5e       	1	Y	L/F+/G       	3	Y	 1.04	 1.96	g2  	10.75	 0.0087	012.255480000000	-56.09704000000	2                            	28-29                           	Simbad
     296	 282207882	BD-05 1837         	B7Ib/II   	1	Y	I/H/G        	4	Y	 1.35	 2.88	g2  	 9.47	 0.0281	102.959297000000	-05.61976700000	6                            	33                              	Simbad
     297	 282306169	HD 50209           	B8IVe     	1	Y	I+/G         	1	N	     	     	    	 8.24	 0.0154	103.043183000000	-00.29556000000	6                            	33                              	Simbad
     298	 282808223	HD 50820           	B3IVe     	1	S	S/L/G        	1	N	     	     	    	 5.34	 0.0049	103.675210000000	-01.75651000000	6                            	33                              	Simbad
     299	 282899554	HD 50891           	B0.5Ve    	1	Y	G            	2	Y	 0.94	 1.78	g2  	 8.53	 0.0370	103.745091000000	-03.70037700000	6                            	33                              	Simbad
     300	 283206453	V746 Mon           	B1.5IVe   	1	Y	G            	4	Y	 0.63	 1.39	g2  	 8.17	 0.0126	104.079519000000	-03.80706000000	6                            	33                              	Simbad
     301	 284230347	HD 55806           	B7IIIe    	1	U	             	 	 	     	     	    	 8.70	 0.0204	108.660210000000	+02.90191000000	7                            	33                              	Simbad
     302	 285187855	HD 138477          	B7IIIe    	1	Y	             	0	N	 0.00	     	    	 8.12	 0.0526	233.770220000000	-56.98395000000	12                           	38-39                           	Simbad
     303	 285699059	HD 74401           	B1IIIne   	1	Y	I/H/G        	1	Y	 1.58	 3.08	g1  	 8.52	 0.0614	130.501580000000	-47.66497000000	8-9                          	35-36                           	Simbad
     304	 285916305	HD 65930           	B2IIIe    	1	Y	S/I/L/H      	0	N	     	     	    	 6.94	 0.1142	119.753050000000	-48.37631000000	7-9                          	34-35                           	Simbad
     305	 286159211	HD 69651           	B9Vne     	1	Y	I            	0	N	     	     	    	10.10	 0.1072	123.930980000000	-48.34420000000	8-9                          	34-35-36                        	Simbad
     306	 289877581	d Lup              	B3IVpe    	1	N	             	 	 	     	     	    	 4.92	 0.2052	233.971875000000	-44.95838888890	12                           	38                              	Simbad
     307	 290523979	HD 306657          	B8e       	1	Y	G            	3	Y	 2.19	 4.32	sim.	10.20	 0.7537	173.813190000000	-61.69988000000	10-11                        	37-38                           	Simbad
     308	 290525745	HD 306793          	B3Ve      	1	Y	G            	4	Y	 2.19	 4.58	g2  	10.50	 0.7327	173.841970000000	-61.53636000000	10-11                        	37-38                           	Simbad
     309	 290682353	V911 Cen           	Be        	1	Y	S/L/F+/G     	1	N	     	     	    	 9.43	 0.7390	174.039040000000	-61.69487000000	10-11                        	37-38                           	Simbad
     310	 290682406	V855 Cen           	Be        	1	Y	G            	3	Y	 1.13	 2.13	g1  	 9.59	 1.0581	174.022840000000	-61.70167000000	10-11                        	37-38                           	Simbad
     311	 291385725	HD 254647          	Bpe       	1	Y	S/I/H        	0	N	     	     	    	 9.39	 0.0464	094.394200000000	+11.19092000000	6                            	33                              	Simbad
     312	 291429783	HD 127112          	B8Ve      	0	 	             	 	 	     	     	    	 9.00	 0.0823	217.941460000000	-58.88946000000	                             	38                              	Simbad
     313	 292362364	BD+01 1699         	B5/7Ib:   	1	Y	G            	3	Y	 0.57	 1.21	g2  	 9.84	 0.0401	106.980564000000	+01.71959400000	7                            	33                              	Simbad
     314	 292550464	HD 127515          	B7.5Vne   	1	Y	G            	1	N	     	     	    	 9.55	 0.1863	218.469430000000	-56.74563000000	11                           	38                              	Simbad
     315	 292674898	V1008 Cen          	B2.5Vne   	1	Y	S/L/F+/G     	2	Y	 1.50	 3.00	sim.	 7.71	 0.0440	218.403230000000	-58.82082000000	11                           	38                              	Simbad
     316	 293290586	HD 129842          	B8.5IVe   	1	Y	             	0	N	 0.00	     	    	 8.35	 0.0694	222.003110000000	-65.73955000000	12                           	38-39                           	Simbad
     317	 294125876	HD 42477           	A0Vnne    	0	 	             	 	 	     	     	    	 5.99	 0.0052	092.866300000000	+13.63856000000	                             	33                              	Simbad
     318	 294308857	HD 253084          	B5e       	0	 	             	 	 	     	     	    	 8.96	 0.0089	092.889010000000	+14.23890000000	                             	33                              	Simbad
     319	 294355648	69 Ori             	B5Vne     	0	 	             	 	 	     	     	    	 5.09	 0.0018	093.013666666700	+16.13040555560	                             	33                              	Simbad
     320	 294553294	CQ Cir             	B1Ve      	1	Y	G            	3	Y	 1.20	 2.50	g1  	 8.83	 0.1297	222.709420000000	-60.28620000000	11                           	                                	Simbad
     321	 294852531	HD 298339          	B2Vne     	1	Y	G            	1	N	     	     	    	10.36	 0.1360	140.353620000000	-51.16647000000	9                            	35-36                           	Simbad
     322	 295099096	QR Vel             	B2Vne     	1	Y	G            	4	Y	 1.22	 2.31	sim.	 9.57	 0.1822	140.493430000000	-51.17649000000	9                            	35-36                           	Simbad
     323	 295581098	HD 298377          	B3Vne     	1	Y	L/F+/G       	3	Y	 1.18	 2.50	g2  	 9.94	 0.1354	140.982520000000	-51.96226000000	9-10                         	35-36                           	Simbad
     324	 296969980	tet Cir            	B4Vnpe    	1	Y	L/G          	4	Y	 2.11	 4.45	g1  	 6.45	 0.0220	224.183291667000	-62.78101666670	12                           	38-39                           	Simbad
     325	 299022962	HD 83043           	B2.5Vne   	1	Y	L/F+/G       	4	Y	 1.43	 2.74	g2  	 8.21	 0.0195	143.479830000000	-53.63508000000	9-10                         	37                              	Simbad
     326	 299035061	HD 120417          	B9IVne    	0	 	             	 	 	     	     	    	 8.90	 0.1537	207.809560000000	-63.88999000000	11                           	38                              	Simbad
     327	 299315060	MWC 521            	B0V       	0	 	             	 	 	     	     	    	 8.16	 0.0616	092.390137000000	-05.06668500000	                             	33                              	Simbad
     328	 300524274	HD 146381          	B6IIIe    	1	Y	I/G          	2	N	     	     	    	 8.47	 0.0224	245.055160000000	-64.49798000000	12                           	39                              	Simbad
     329	 301435200	HD 307350          	B2Ve      	1	Y	I/H/V/G      	1	N	     	     	    	 9.49	 0.2291	178.502350000000	-58.52116000000	10-11                        	37                              	Simbad
     330	 302348015	BD+13 895          	B8        	1	Y	G            	4	Y	 2.24	 4.58	sim.	 9.76	 0.0058	081.824131000000	+13.14916200000	6                            	32                              	Simbad
     331	 302962039	E Car              	B2IVe     	1	Y	S/I/L/F/G    	1	N	     	     	    	 4.82	 0.0038	136.409916667000	-70.53850000000	9-10-11-12                   	36-37-38                        	Simbad
     332	 305090822	HD 157273          	B8.5Vne   	1	N	             	 	 	     	     	    	 8.23	 0.0043	261.659080000000	-63.81499000000	12                           	39                              	Simbad
     333	 305629042	HD 103514          	B6e       	1	Y	G            	3	Y	 0.82	 1.58	g2  	 9.44	 0.1401	178.752380000000	-60.31018000000	10-11                        	37-38                           	Simbad
     334	 305896243	HD 103574          	B2Ve      	1	Y	G            	3	Y	 0.90	 1.85	sim.	 7.84	 0.0462	178.840270000000	-63.70355000000	10-11                        	37-38                           	Simbad
     335	 306419817	HD 103872          	B5e       	1	Y	L/G          	4	Y	 0.58	 1.25	sim.	 8.69	 0.1210	179.395690000000	-61.54971000000	10-11                        	37-38                           	Simbad
     336	 307100246	HD 104011          	Be        	1	Y	L/F+/G       	3	Y	 1.88	 3.77	g1  	 9.19	 0.3363	179.660670000000	-60.65501000000	10-11                        	37-38                           	Simbad
     337	 307225534	V767 Cen           	B2Ve      	1	Y	S/L/F+/G     	4	Y	 0.78	 1.66	sim.	 6.33	 0.0114	208.488500000000	-47.12816388890	11                           	38                              	Simbad
     338	 308748912	HD 68423           	B8Ve      	1	Y	             	0	N	 0.00	     	    	 6.38	 0.0304	122.102700000000	-63.80077000000	1-4-8-9-10-11                	28-31-34-35-36-37-38            	Simbad
     339	 308760236	HD 106730          	B0.5e     	1	Y	L/F/G        	3	Y	 0.85	 1.88	sim.	 8.21	 0.0767	184.153260000000	-64.51648000000	11                           	37-38                           	Simbad
     340	 308951795	HD 306145          	B2Vne     	1	S	S/I/L/H/V/G  	1	N	     	     	    	 9.93	 1.4319	167.830560000000	-59.92046000000	10-11                        	37                              	Simbad
     341	 309184049	HD 106960          	B8IIIe    	1	Y	G            	2	Y	 1.59	 3.22	g1  	 9.53	 0.1400	184.556790000000	-61.49191000000	11                           	37-38                           	Simbad
     342	 310645192	V471 Car           	B5ne      	1	Y	L/F+/G       	4	Y	 1.25	 2.67	g1  	 7.97	 0.0200	129.219520000000	-63.62764000000	8-9-10-11                    	35-36-37-38                     	Simbad
     343	 311334494	HD 107609          	B8.5IVe   	1	Y	             	0	N	 0.00	     	    	 9.16	 0.0631	185.580850000000	-63.65980000000	11                           	37-38                           	Simbad
     344	 312909005	HD 116875          	B8Ve      	0	 	             	 	 	     	     	    	 7.22	 0.0384	202.006210000000	-61.06249000000	11                           	38                              	Simbad
     345	 312931751	HD 116827          	B3.5Vne   	1	Y	G            	3	Y	 2.17	 4.24	sim.	 9.41	 0.1156	201.897710000000	-62.11859000000	11                           	38                              	Simbad
     346	 313074666	V967 Cen           	B0IIe     	1	Y	L/G          	1	N	     	     	    	 7.45	 0.0831	201.854460000000	-62.64899000000	11                           	38                              	Simbad
     347	 313955481	V969 Cen           	B3Ve      	1	Y	G            	3	Y	 1.04	 2.04	g2  	 9.80	 0.2817	202.392910000000	-61.19337000000	11                           	38                              	Simbad
     348	 314416691	HD 146357          	B4IIIe    	1	Y	L/G          	4	Y	 1.55	 3.00	g2  	 9.55	 0.5649	244.662430000000	-53.31917000000	12                           	39                              	Simbad
     349	 314868712	HD 146444          	B2Vne     	1	Y	L/G          	3	Y	 0.95	 1.86	g1  	 7.45	 0.0269	244.664100000000	-49.41389000000	12                           	39                              	Simbad
     350	 315036866	HD 117357          	O9.5Ve    	1	Y	I+/H/G       	2	?	 0.78	 2.00	sim.	 8.86	 0.1126	202.814550000000	-61.73260000000	11                           	38                              	Simbad
     351	 315207705	HD 146501          	B6Vne     	1	Y	I/G          	3	Y	 2.91	 5.80	sim.	 7.19	 0.0558	244.761090000000	-49.40636000000	12                           	39                              	Simbad
     352	 315679257	HD 146596          	B5IVe     	1	S	S/L          	0	N	     	     	    	 7.55	 0.0779	244.927810000000	-52.77194000000	12                           	39                              	Simbad
     353	 315830698	HD 99354           	B1IIIne   	1	Y	I            	0	N	     	     	    	 8.80	 0.1943	171.307360000000	-61.27688000000	10-11                        	37-38                           	Simbad
     354	 316279926	WRAY 15-1119       	Be        	0	 	             	 	 	     	     	    	10.60	 0.4689	203.441790000000	-63.53466000000	11                           	                                	Simbad
     355	 316792722	HD 99771           	B7Vne     	1	S	I+/G         	3	Y	 0.61	 1.23	g1  	 8.31	 0.0184	171.986980000000	-62.80518000000	10-11                        	37-38                           	Simbad
     356	 317666530	HD 118094          	B8Vne     	0	 	             	 	 	     	     	    	 7.91	 0.0476	204.087410000000	-63.14566000000	11                           	                                	Simbad
     357	 317795621	HD 100199          	B0.5IIIne 	1	Y	S/I/G        	4	Y	 0.93	 1.81	sim.	 8.14	 0.0177	172.778810000000	-62.94694000000	10-11                        	37-38                           	Simbad
     358	 319152335	HD 57386           	B1.5Vnnpe 	1	Y	S/I/H/G      	4	?	 1.84	 3.10	sim.	 7.85	 0.0376	110.179120000000	-08.42103000000	7                            	33                              	Simbad
     359	 319730932	BD+00 1516         	B9        	1	Y	I/H          	0	N	     	     	    	 9.36	 0.0301	099.624626000000	+00.70975600000	6                            	33                              	Simbad
     360	 319854805	HD 47359           	B0IVe     	1	U	             	 	 	     	     	    	 8.60	 0.0120	099.603760000000	+04.88096000000	6                            	                                	Simbad
     361	 320228013	HD 308829          	B5e       	1	N	             	 	 	     	     	    	10.30	 0.3483	174.741550000000	-63.47751000000	10-11                        	37-38                           	Simbad
     362	 322104948	V644 Cen           	B3Ve      	1	U	             	 	 	     	     	    	10.09	 0.2663	175.777230000000	-60.73459000000	10-11                        	37-38                           	Simbad
     363	 322233181	HD 306962          	Oe        	1	S	S/I/L/H      	0	N	     	     	    	 9.31	 0.3985	175.650950000000	-59.97818000000	10-11                        	37-38                           	Simbad
     364	 323325708	HD 102189          	B5e       	1	Y	G            	4	Y	 1.20	 2.33	g2  	 9.64	 0.2776	176.318350000000	-61.92989000000	10-11                        	37-38                           	Simbad
     365	 323348984	HD 37330           	B6Ve      	1	Y	G            	4	Y	 3.02	 6.02	g1  	 7.57	 0.0252	084.472725000000	+00.96858100000	6                            	32                              	Simbad
     366	 323612875	HD 102369          	B8.5IIIe  	1	N	             	 	 	     	     	    	 9.74	 0.3521	176.660980000000	-64.16585000000	10-11                        	37-38                           	Simbad
     367	 323613746	HD 102352          	B2Vne     	1	Y	F+/G         	3	Y	 1.80	 3.20	g1  	 9.71	 0.0703	176.618270000000	-64.06290000000	10-11                        	37-38                           	Simbad
     368	 324252945	HD 121195          	B8IVne    	0	 	             	 	 	     	     	    	 8.90	 0.0737	208.974574000000	-61.50373500000	11                           	38                              	Simbad
     369	 324268119	V801 Cen           	B1Vne     	1	Y	S/I/H/F+/G   	4	Y	 1.50	 3.07	sim.	 8.70	 0.0823	177.000110000000	-62.20694000000	10-11                        	37-38                           	Simbad
     370	 324940394	HD 148907          	B6Ve      	1	Y	I/H/G        	2	N	     	     	    	 9.43	 0.0677	248.808560000000	-61.89450000000	12                           	39                              	Simbad
     371	 325170579	j Cen              	B3Vne     	1	Y	L/F+/G       	4	Y	 1.76	 3.39	sim.	 4.53	 0.0097	177.421083333000	-63.78847777780	10-11                        	37-38                           	Simbad
     372	 325237845	HD 102742          	B3Ve      	1	Y	L/F+/G       	4	Y	 1.25	 2.11	g2  	 9.53	 0.0375	177.374770000000	-64.62250000000	10-11                        	37-38                           	Simbad
     373	 325273334	V987 Cen           	B5Vne     	1	Y	I/H/G        	3	Y	 1.85	 3.73	g1  	 8.88	 0.1301	209.490730000000	-59.88467000000	11                           	38                              	Simbad
     374	 326022066	HD 164050          	B8Ve      	1	Y	G            	5	Y	 2.08	 4.17	g1  	 7.83	 0.0457	270.297150000000	-40.33552000000	13                           	39                              	Simbad
     375	 327913813	HD 122282          	B6pshe    	1	Y	S/G          	3	Y	 1.31	 2.61	g2  	 8.67	 0.1470	210.781520000000	-63.83678000000	11-12                        	38                              	Simbad
     376	 329059929	HD 122691          	Be        	1	Y	I+/G         	1	N	     	     	    	 9.37	 0.1030	211.354940000000	-62.58844000000	11                           	38                              	Simbad
     377	 329060936	HD 122669          	Be        	1	Y	G            	2	Y	 0.94	 2.10	g1  	 8.38	 0.2056	211.341810000000	-62.50741000000	11                           	38                              	Simbad
     378	 330435560	HD 123131          	B6.5Ve    	1	Y	I+/G         	1	N	     	     	    	 7.91	 0.0877	211.986110000000	-61.50894000000	11                           	38                              	Simbad
     379	 330719215	HD 123207          	B6Vne     	0	 	             	 	 	     	     	    	 8.72	 0.1419	212.166840000000	-64.19044000000	11-12                        	38                              	Simbad
     380	 333670665	V863 Cen           	B6IIIe    	1	N	             	 	 	     	     	    	 4.64	 0.0122	182.021750000000	-50.66126944440	10                           	37                              	Simbad
     381	 334776134	HD 91120           	B8.5IVe   	1	Y	S/G          	3	Y	 1.33	 2.52	g1  	 5.61	 0.0002	157.749333333000	-13.58846944440	9                            	35                              	Simbad
     382	 335092511	HD 124489          	B8IVe     	0	 	             	 	 	     	     	    	 9.20	 0.1094	214.113640000000	-64.78062000000	11-12                        	38                              	Simbad
     383	 335444921	CD-44 9840         	B8V       	0	 	             	 	 	     	     	    	 8.55	 0.0200	226.308071000000	-44.92083200000	11                           	38                              	Simbad
     384	 336343562	LS Mus             	B2IVne    	1	Y	L/F+/G       	5	Y	 1.83	 3.73	sim.	 6.14	 0.0046	195.772250000000	-71.47573055560	11-12                        	38                              	Simbad
     385	 338532011	CD-60 4299         	B2Ve      	1	Y	L/G          	4	Y	 0.61	 1.26	g1  	 9.53	 0.1363	189.650870000000	-61.25358000000	11                           	37-38                           	Simbad
     386	 338738989	HD 152060          	B2Ve      	1	Y	I/H          	0	N	     	     	    	 9.53	 0.2205	253.249900000000	-41.40759000000	12                           	39                              	Simbad
     387	 340633517	HD 63453           	B9Vne     	1	Y	G            	2	Y	 2.01	 4.01	g1  	 9.09	 0.0069	116.500090000000	-56.19350000000	7-8-9-10                     	34-36                           	Simbad
     388	 340878553	HD 141689          	B2.5ne    	1	Y	S/G          	2	N	     	     	    	 9.76	 0.2867	238.440990000000	-61.66396000000	12                           	39                              	Simbad
     389	 341040849	HD 64831           	B8Vne     	1	Y	G            	3	Y	 1.39	 2.80	g1  	 7.70	 0.0022	118.092830000000	-59.49313000000	4-7-8-9-10                   	27-34-35-36-37                  	Simbad
     390	 342201547	HD 69026           	B1.5Ve    	1	Y	S/L/F+/G     	3	Y	 2.12	 3.67	sim.	 8.30	 0.0052	123.087210000000	-55.35285000000	8-9-10                       	34-35-36                        	Simbad
     391	 342257745	HD 322422          	B1Ve      	1	U	             	 	 	     	     	    	 9.22	 0.0791	254.349790000000	-40.36107000000	12                           	39                              	Simbad
     392	 343376491	MQ TrA             	Oe        	1	Y	S/L/F+/G     	2	Y	 1.50	 3.00	g2  	 7.26	 0.1926	240.935230000000	-60.49847000000	12                           	39                              	Simbad
     393	 344341901	HD 150930          	B7IIIe    	1	Y	G            	1	N	     	     	    	 8.71	 0.0459	251.836660000000	-57.03503000000	12                           	39                              	Simbad
     394	 347225198	HD 152358          	Bpshe     	1	Y	S/G          	2	Y	 0.86	 1.85	sim.	 9.10	 0.1059	253.854210000000	-50.63656000000	12                           	39                              	Simbad
     395	 347529796	HD 152505          	B2.5Vne   	0	 	             	 	 	     	     	    	 8.70	 0.1956	254.039810000000	-49.03331000000	12                           	39                              	Simbad
     396	 347665026	V846 Ara           	B3Vnpe    	1	Y	G            	3	Y	 2.16	 4.23	sim.	 6.17	 0.0229	254.036850000000	-50.67476000000	12                           	39                              	Simbad
     397	 350472809	HD 147230          	B7Ve      	1	Y	G            	2	Y	 1.31	 2.55	sim.	 9.63	 1.2497	246.255990000000	-65.04065000000	12                           	39                              	Simbad
     398	 355553423	HD 79206           	B3.5Vne   	1	Y	I/G          	7	Y	 1.39	 2.82	sim.	 7.81	 0.1306	137.675080000000	-53.04580000000	9-10                         	35-36                           	Simbad
     399	 355653322	eps Tuc            	B8Ve      	1	Y	I+           	0	N	     	     	    	 4.57	 0.0001	359.979083333000	-65.57713333330	1                            	28                              	Simbad
