#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-03T11:59:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:59:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/639/A81&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36390081
#Name: J/A+A/639/A81
#Title: Variability of OB stars (Burssens+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/639/a81	    IVOID of underlying data collection
#INFO	creator=Burssens S.	    First author or institution
#INFO	cites=bibcode:2020A&A...639A..81B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/639/A81	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36390081	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_639_A81_table2:
#Name: J/A+A/639/A81/table2
#Title: Overview of OB-type stars with available TESS photometry and IACOB/OWN spectroscopy with spectral type O4 to B3 considered in this work
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Sample	(I1)	Sample code (G1)	[ucd=meta.code;src.sample]
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	SpType	(a21)	Spectral type	[ucd=src.spType]
#Column	SpClass	(a15)	Spectral class	[ucd=src.spType]
#Column	logTeff	(F5.2)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	logLs	(F5.2)	? Spectroscopic luminosity (where Ls=Teff^4^/g) (2)	[ucd=stat.fit.param]
#Column	vsini	(I3)	? Rotational velocity	[ucd=phys.veloc.rotat]
#Column	vmac	(I3)	? Macroturbulent velocity	[ucd=phys.veloc.microTurb]
#Column	Nsp	(I3)	Number of available spectra	[ucd=meta.number]
#Column	VarTypesp	(a8)	Spectral variability type (G3)	[ucd=meta.code;src.var]
#Column	VarTypeT	(a12)	TESS variability type (4)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Sample	Name	SpType	SpClass	logTeff	logLs	vsini	vmac	Nsp	VarTypesp	VarTypeT	Simbad	_RA	_DE
     159	F	HD 159176  	nu13	 6.7240	 0.0040	  0.210	 0.040	 0.400	 0.200	 6.0	12nuorb
     160	F	HD 46485   	nu1 	 0.1453	 0.0004	  8.900	 0.100	-0.430	 0.020	15.4	nuorb
     161	F	HD 46485   	nu2 	 1.8690	 0.0010	  1.180	 0.060	-0.450	 0.050	 5.0	
     162	F	HD 46485   	nu3 	 0.4360	 0.0010	  1.110	 0.050	 0.220	 0.050	 5.3	3nuorb
     163	F	HD 23466   	nu1 	 0.4050	 0.0010	  6.200	 0.400	-0.220	 0.060	13.7	
     164	F	HD 23466   	nu2 	 0.4660	 0.0020	  2.600	 0.200	 0.460	 0.090	 9.0	
     165	F	HD 23466   	nu3 	 0.8250	 0.0030	  2.600	 0.300	 0.000	 0.100	 9.4	2nuorb
     166	F	HD 23466   	nu4 	 2.8890	 0.0040	  2.000	 0.400	-0.400	 0.200	 8.8	7nuorb
     167	F	HD 23466   	nu5 	 3.7130	 0.0050	  1.800	 0.400	 0.400	 0.200	 7.6	9nuorb
     168	F	HD 23466   	nu6 	 0.1390	 0.0020	  1.700	 0.100	 0.300	 0.080	 9.4	
     169	F	HD 23466   	nu7 	 1.6500	 0.0020	  1.600	 0.200	-0.280	 0.010	 8.3	4nuorb
     170	F	HD 23466   	nu8 	 0.8840	 0.0010	  1.620	 0.080	-0.210	 0.050	10.4	
     171	F	HD 23466   	nu9 	 2.0630	 0.0020	  1.600	 0.200	-0.100	 0.100	 6.7	5nuorb
     172	F	HD 23466   	nu10	 1.2350	 0.0020	  1.500	 0.100	 0.190	 0.090	 8.9	3nuorb
     173	F	HD 23466   	nu11	 4.5360	 0.0050	  1.400	 0.400	 0.100	 0.300	 8.0	11nuorb
     174	F	HD 23466   	nu12	 0.6880	 0.0010	  1.380	 0.070	-0.030	 0.050	 8.0	
     175	F	HD 23466   	nu13	 2.4770	 0.0030	  1.300	 0.200	 0.400	 0.200	 7.2	6nuorb
     176	F	HD 23466   	nu14	 5.3620	 0.0080	  1.000	 0.400	-0.200	 0.400	 8.4	13nuorb
     177	F	HD 23466   	nu15	 3.2970	 0.0050	  0.900	 0.200	 0.100	 0.200	 7.9	8nuorb
     178	F	HD 23466   	nu16	 4.9500	 0.0080	  0.800	 0.300	 0.400	 0.400	 8.5	12nuorb
     179	F	HD 23466   	nu17	 5.7700	 0.0100	  0.800	 0.400	 0.100	 0.500	 8.4	14nuorb
     180	F	HD 23466   	nu18	 4.1270	 0.0070	  0.700	 0.200	-0.300	 0.300	 6.4	10nuorb
     181	F	HD 23466   	nu19	 6.6000	 0.0100	  0.600	 0.400	-0.200	 0.600	 8.5	16nuorb
     182	F	HD 23466   	nu20	 6.1900	 0.0100	  0.600	 0.400	-0.500	 0.700	 8.5	15nuorb
     183	F	HD 23466   	nu18	 0.9600	 0.0010	  0.590	 0.040	-0.370	 0.060	 5.6	
     184	F	HD 23466   	nu19	 0.7660	 0.0010	  0.530	 0.030	 0.150	 0.070	 5.2	
     185	F	HD 23466   	nu20	 0.2618	 0.0010	  0.470	 0.020	 0.400	 0.050	 5.2	
     186	F	HD 23466   	nu21	 1.9350	 0.0020	  0.460	 0.040	-0.040	 0.090	 5.3	
     187	F	HD 23466   	nu22	 0.0770	 0.0010	  0.400	 0.030	-0.060	 0.060	 5.1	
     188	F	HD 23466   	nu23	 7.4300	 0.0200	  0.400	 0.400	-0.500	 0.100	 8.5	18nuorb
     189	F	HD 23466   	nu24	 7.0100	 0.0200	  0.400	 0.400	 0.000	 1.000	 8.5	17nuorb
     190	F	HD 23466   	nu25	 1.3340	 0.0020	  0.330	 0.020	 0.240	 0.070	 5.0	
     191	F	HD 23466   	nu26	 3.0970	 0.0030	  0.300	 0.040	-0.300	 0.100	 5.5	
     192	F	HD 23466   	nu27	 7.8400	 0.0300	  0.300	 0.400	 0.000	 1.000	 8.5	19nuorb
     193	F	HD 23466   	nu28	11.9600	 0.0400	  0.200	 0.400	 0.000	 2.000	 7.6	29nuorb
     194	F	HD 23466   	nu29	11.1400	 0.0400	  0.200	 0.400	 0.000	 2.000	 7.6	27nuorb
     195	F	HD 23466   	nu30	 8.6600	 0.0400	  0.200	 0.300	 0.000	 2.000	 9.4	21nuorb
     196	F	HD 23466   	nu31	12.7900	 0.0500	  0.200	 0.400	 0.000	 2.000	 7.6	31nuorb
     197	F	HD 23466   	nu32	10.3100	 0.0500	  0.200	 0.400	 0.000	 2.000	 9.4	25nuorb
     198	F	HD 23466   	nu33	 8.2500	 0.0500	  0.200	 0.300	 0.000	 2.000	 9.4	20nuorb
     199	F	HD 23466   	nu34	13.2000	 0.0700	  0.100	 0.400	 0.000	 3.000	 7.6	32nuorb
     200	F	HD 23466   	nu35	14.0200	 0.0700	  0.100	 0.400	 0.000	 3.000	 7.6	34nuorb
     201	F	HD 23466   	nu36	 9.9000	 0.0600	  0.100	 0.300	 0.000	 3.000	 9.4	24nuorb
     202	F	HD 23466   	nu37	 9.4900	 0.0600	  0.100	 0.300	 0.000	 3.000	 9.4	23nuorb
     203	F	HD 23466   	nu38	 9.0800	 0.0500	  0.100	 0.200	 0.000	 3.000	 6.4	22nuorb
     204	F	HD 23466   	nu39	13.6100	 0.0800	  0.100	 0.400	 0.000	 4.000	 8.4	33nuorb
     205	F	HD 23466   	nu40	10.7200	 0.0600	  0.100	 0.200	 0.000	 3.000	 6.4	26nuorb
     206	F	HD 23466   	nu41	18.5600	 0.0700	  0.100	 0.300	 0.000	 3.000	 6.4	45nuorb
     207	F	HD 23466   	nu42	19.3900	 0.0700	  0.100	 0.200	 0.000	 3.000	 6.4	47nuorb
     208	F	HD 23466   	nu43	12.3800	 0.0700	  0.100	 0.200	 0.000	 3.000	 6.4	30nuorb
     209	F	HD 23466   	nu44	14.8500	 0.0700	  0.100	 0.300	 0.000	 4.000	 6.4	36nuorb
     210	F	HD 23466   	nu45	17.7400	 0.0800	  0.100	 0.200	 0.000	 4.000	 6.4	43nuorb
     211	F	HD 23466   	nu46	20.2100	 0.0900	  0.100	 0.200	 0.000	 4.000	 6.4	49nuorb
     212	F	HD 23466   	nu47	17.3000	 0.1000	  0.000	 0.200	 0.000	 5.000	 8.3	42nuorb
     213	F	HD 23466   	nu48	14.4300	 0.1000	  0.000	 0.200	 0.000	 5.000	 7.2	35nuorb
     214	F	HD 23466   	nu49	16.9000	 0.1000	  0.000	 0.200	 0.000	 5.000	 8.3	41nuorb
     215	F	HD 23466   	nu50	15.2600	 0.0500	  0.030	 0.080	 0.000	 2.000	 8.0	37nuorb
     216	F	HD 23466   	nu51	20.6000	 0.1000	  0.000	 0.200	 0.000	 6.000	 8.3	50nuorb
     217	F	HD 23466   	nu52	16.0900	 0.0400	  0.030	 0.060	 0.000	 2.000	 7.3	39nuorb
     218	F	HD 23466   	nu53	16.5000	 0.0600	  0.030	 0.080	 0.000	 3.000	 8.0	40nuorb
     219	F	HD 23466   	nu54	25.9800	 0.0500	  0.030	 0.060	 0.000	 2.000	 7.3	63nuorb
     220	F	HD 23466   	nu55	18.1500	 0.0600	  0.030	 0.070	 0.000	 3.000	 8.3	44nuorb
     221	F	HD 23466   	nu56	21.0300	 0.0500	  0.030	 0.060	 0.000	 2.000	 7.3	51nuorb
     222	F	HD 23466   	nu57	25.1600	 0.0500	  0.020	 0.060	 0.000	 3.000	 7.3	61nuorb
     223	F	HD 23466   	nu58	23.9300	 0.0600	  0.020	 0.060	 0.000	 3.000	 7.3	58nuorb
     224	F	HD 23466   	nu59	24.7500	 0.0600	  0.020	 0.060	 0.000	 3.000	 7.3	60nuorb
     225	F	HD 23466   	nu60	21.4500	 0.0600	  0.020	 0.060	 0.000	 3.000	 7.3	52nuorb
     226	F	HD 23466   	nu61	19.8000	 0.0700	  0.020	 0.060	 0.000	 3.000	 7.3	48nuorb
     227	F	HD 152590  	nu1 	 0.4450	 0.0030	 25.000	 4.000	 0.000	 0.100	 6.0	2nuorb
     228	F	HD 152590  	nu2 	 0.8890	 0.0030	 20.000	 2.000	-0.300	 0.100	 5.7	4nuorb
     229	F	HD 152590  	nu3 	 1.5600	 0.0030	 17.000	 2.000	-0.300	 0.100	 5.6	7nuorb
     230	F	HD 152590  	nu4 	 1.1130	 0.0030	 17.000	 2.000	 0.000	 0.100	 6.8	5nuorb
     231	F	HD 152590  	nu5 	 0.2180	 0.0020	 16.000	 2.000	-0.300	 0.100	 6.5	
     232	F	HD 152590  	nu6 	 2.0050	 0.0040	 16.000	 3.000	 0.400	 0.200	 5.3	9nuorb
     233	F	HD 152590  	nu7 	 0.6680	 0.0020	 16.000	 1.000	 0.270	 0.080	 7.1	3nuorb
     234	F	HD 152590  	nu8 	 1.3360	 0.0020	 14.000	 1.000	 0.440	 0.090	 7.4	6nuorb
     235	F	HD 152590  	nu9 	 2.4510	 0.0030	 14.000	 2.000	 0.100	 0.200	 6.2	11nuorb
     236	F	HD 152590  	nu10	 1.7810	 0.0020	 10.700	 0.900	 0.140	 0.080	 7.1	8nuorb
     237	F	HD 152590  	nu11	 2.8960	 0.0020	 10.400	 0.900	-0.140	 0.090	 6.5	13nuorb
     238	F	HD 152590  	nu12	 2.2270	 0.0010	  8.600	 0.500	-0.190	 0.060	 8.8	10nuorb
     239	F	HD 152590  	nu13	 2.6730	 0.0020	  7.800	 0.800	 0.500	 0.100	 6.9	12nuorb
     240	F	HD 152590  	nu14	 3.3410	 0.0030	  7.100	 0.800	-0.400	 0.100	 6.4	15nuorb
     241	F	HD 152590  	nu15	 3.1180	 0.0020	  6.800	 0.700	 0.200	 0.100	 7.7	14nuorb
     242	F	HD 152590  	nu16	 3.5640	 0.0020	  5.500	 0.500	-0.090	 0.090	 9.0	16nuorb
     243	F	HD 152590  	nu17	 3.7870	 0.0020	  5.000	 0.500	 0.260	 0.090	 9.6	17nuorb
     244	F	HD 152590  	nu18	 4.0110	 0.0030	  3.600	 0.400	-0.400	 0.100	 7.7	18nuorb
     245	F	HD 152590  	nu19	 4.2320	 0.0030	  3.200	 0.400	 0.000	 0.100	 8.4	19nuorb
     246	F	HD 152590  	nu20	 0.3470	 0.0020	  2.300	 0.200	 0.440	 0.090	 7.1	
     247	F	HD 152590  	nu18	 4.6800	 0.0030	  1.800	 0.200	-0.400	 0.100	 6.1	21nuorb
     248	F	HD 152590  	nu19	 7.1270	 0.0030	  1.500	 0.200	 0.100	 0.100	 5.2	32nuorb
     249	F	HD 152590  	nu20	 6.6820	 0.0030	  1.500	 0.200	 0.400	 0.100	 5.2	30nuorb
     250	F	HD 152590  	nu21	 4.4570	 0.0030	  1.500	 0.200	 0.300	 0.200	 6.4	20nuorb
     251	F	HD 152590  	nu22	 6.4580	 0.0030	  1.400	 0.200	 0.000	 0.100	 5.2	29nuorb
     252	F	HD 152590  	nu23	 6.9040	 0.0030	  1.400	 0.200	-0.300	 0.100	 5.2	31nuorb
     253	F	HD 152590  	nu24	 7.5730	 0.0030	  1.400	 0.200	-0.200	 0.100	 5.2	34nuorb
     254	F	HD 152590  	nu25	 7.3500	 0.0030	  1.400	 0.200	 0.400	 0.100	 5.2	33nuorb
     255	F	HD 152590  	nu26	 6.2380	 0.0030	  1.300	 0.200	-0.300	 0.100	 5.3	28nuorb
     256	F	HD 152590  	nu27	 7.7950	 0.0030	  1.200	 0.200	 0.100	 0.100	 5.2	35nuorb
     257	F	HD 152590  	nu28	 8.0190	 0.0030	  1.200	 0.200	 0.500	 0.100	 5.2	36nuorb
     258	F	HD 152590  	nu29	 6.0140	 0.0030	  1.100	 0.200	 0.300	 0.100	 5.2	27nuorb
     259	F	HD 152590  	nu30	 5.7890	 0.0030	  1.100	 0.200	 0.000	 0.100	 5.3	26nuorb
     260	F	HD 152590  	nu31	 8.2410	 0.0040	  1.000	 0.200	-0.200	 0.200	 5.2	37nuorb
     261	F	HD 152590  	nu32	 5.1230	 0.0040	  0.900	 0.200	 0.400	 0.200	 5.3	23nuorb
     262	F	HD 152590  	nu33	 8.4640	 0.0040	  0.800	 0.200	 0.200	 0.200	 5.2	38nuorb
     263	F	HD 152590  	nu34	 8.6880	 0.0050	  0.700	 0.200	-0.500	 0.200	 5.2	39nuorb
     264	F	HD 152590  	nu35	 8.9100	 0.0060	  0.600	 0.200	-0.100	 0.300	 5.2	40nuorb
     265	F	HD 152590  	nu36	 5.3440	 0.0060	  0.600	 0.200	 0.300	 0.300	 5.3	24nuorb
     266	F	HD 152590  	nu37	 9.1330	 0.0070	  0.500	 0.100	 0.300	 0.300	 5.3	42nuorb
     267	F	HD 152590  	nu38	 9.3590	 0.0080	  0.400	 0.200	-0.500	 0.300	 5.3	43nuorb
     268	F	HD 152590  	nu39	 9.8000	 0.0100	  0.300	 0.200	 0.300	 0.500	 5.3	45nuorb
     269	F	HD 152590  	nu40	 9.5800	 0.0100	  0.300	 0.200	 0.000	 0.600	 5.3	44nuorb
     270	F	HD 152590  	nu41	10.2500	 0.0200	  0.200	 0.200	 0.100	 0.800	 5.3	46nuorb
     271	F	HD 57061   	nu1 	 1.5604	 0.0008	 19.300	 0.700	-0.280	 0.040	20.4	2nuorb
     272	F	HD 57061   	nu2 	 3.1210	 0.0030	  5.000	 0.600	 0.200	 0.100	10.8	4nuorb
     273	F	HD 57061   	nu3 	 0.2780	 0.0030	  3.600	 0.400	-0.300	 0.100	 6.9	
     274	F	HD 57061   	nu4 	 0.7710	 0.0030	  3.000	 0.400	-0.400	 0.100	 6.2	
     275	F	HD 57061   	nu5 	 0.1750	 0.0030	  2.200	 0.300	 0.200	 0.200	 5.1	
     276	F	HD 57061   	nu6 	 4.6800	 0.0070	  2.000	 0.600	-0.300	 0.300	 6.5	6nuorb
     277	F	HD 36486   	nu1 	 0.3494	 0.0010	  8.700	 0.300	-0.480	 0.040	14.0	2nuorb
     278	F	HD 36486   	nu2 	 0.5230	 0.0020	  4.600	 0.400	-0.490	 0.090	 9.5	3nuorb
     279	F	HD 36486   	nu3 	 0.6910	 0.0010	  4.000	 0.200	-0.170	 0.060	10.4	4nuorb
     280	F	HD 36486   	nu4 	 0.1840	 0.0010	  3.500	 0.200	 0.180	 0.050	10.0	
     281	F	HD 36486   	nu5 	 1.2200	 0.0010	  2.800	 0.100	 0.050	 0.050	 9.2	7nuorb
     282	F	HD 36486   	nu6 	 0.8740	 0.0010	  2.100	 0.100	-0.270	 0.050	 7.2	5nuorb
     283	F	HD 36486   	nu7 	 1.0380	 0.0020	  1.600	 0.100	 0.130	 0.060	 6.1	6nuorb
     284	F	HD 36486   	nu8 	 1.5710	 0.0020	  1.100	 0.090	 0.270	 0.080	 5.1	9nuorb
     285	F	HD 57060   	nu1 	 0.4553	 0.0007	186.000	 5.000	-0.310	 0.030	31.6	2nuorb
     286	F	HD 57060   	nu2 	 0.9130	 0.0020	 35.000	 3.000	 0.160	 0.080	16.1	4nuorb
     287	F	HD 57060   	nu3 	 1.3670	 0.0030	 16.000	 2.000	-0.400	 0.200	 9.1	6nuorb
     288	F	HD 57060   	nu4 	 0.6870	 0.0040	 13.000	 2.000	-0.100	 0.200	 8.7	
     289	F	HD 57060   	nu5 	 0.1060	 0.0040	 10.000	 2.000	 0.100	 0.200	 6.1	
     290	F	HD 57060   	nu6 	 0.8510	 0.0050	  8.000	 2.000	-0.500	 0.200	 5.3	
     291	F	HD 57060   	nu7 	 0.2410	 0.0070	  7.000	 2.000	 0.300	 0.300	 5.7	
     292	F	HD 57060   	nu8 	 0.3100	 0.0040	  7.000	 1.000	-0.300	 0.200	 5.0	
     293	F	HD 57060   	nu9 	 1.8190	 0.0050	  5.000	 1.000	 0.000	 0.200	 5.0	8nuorb
     294	F	HD 47129   	nu1 	 1.6450	 0.0020	 18.000	 1.000	-0.370	 0.080	12.3	
     295	F	HD 47129   	nu2 	 0.8110	 0.0030	  9.000	 1.000	-0.200	 0.100	 9.5	
     296	F	HD 47129   	nu3 	 0.6260	 0.0030	  7.500	 1.000	 0.100	 0.100	 7.3	9nuorb
     297	F	HD 47129   	nu4 	 0.6960	 0.0030	  6.100	 0.700	 0.200	 0.100	 5.6	10nuorb
     298	F	HD 47129   	nu5 	 0.2890	 0.0040	  4.900	 0.800	-0.200	 0.200	 6.4	
     299	F	HD 47129   	nu6 	 0.1300	 0.0040	  4.300	 0.600	-0.200	 0.100	 5.7	
     300	F	HD 47129   	nu7 	 1.1050	 0.0050	  3.100	 0.600	 0.200	 0.200	 5.4	16nuorb
     301	F	HD 47129   	nu8 	 0.5200	 0.0030	  2.900	 0.300	 0.100	 0.100	 5.1	
     302	F	HD 47129   	nu9 	 3.2930	 0.0090	  2.300	 0.900	-0.100	 0.400	 5.5	2nu1
     303	F	HD 62747   	nu1 	 0.5100	 0.0020	 12.000	 1.000	-0.490	 0.090	10.7	2nuorb
     304	F	HD 62747   	nu2 	 0.2570	 0.0020	 11.000	 0.900	-0.150	 0.080	11.8	nuorb
     305	F	HD 62747   	nu3 	 1.0180	 0.0020	  7.700	 0.600	-0.210	 0.080	 9.4	4nuorb
     306	F	HD 62747   	nu4 	 1.5270	 0.0020	  6.000	 0.500	 0.050	 0.090	 8.5	6nuorb
     307	F	HD 62747   	nu5 	 0.7640	 0.0020	  5.100	 0.400	 0.180	 0.080	 8.8	3nuorb
     308	F	HD 62747   	nu6 	 2.0360	 0.0020	  4.700	 0.500	 0.330	 0.100	 8.0	8nuorb
     309	F	HD 62747   	nu7 	 1.7860	 0.0020	  3.700	 0.300	-0.240	 0.090	 7.5	7nuorb
     310	F	HD 62747   	nu8 	 1.2730	 0.0010	  3.600	 0.200	 0.470	 0.070	 8.9	5nuorb
     311	F	HD 62747   	nu9 	 2.5450	 0.0020	  3.100	 0.300	-0.400	 0.100	 8.0	10nuorb
     312	F	HD 62747   	nu10	 2.2940	 0.0020	  2.200	 0.200	 0.000	 0.080	 6.4	9nuorb
     313	F	HD 62747   	nu11	 3.0550	 0.0030	  1.800	 0.200	-0.100	 0.100	 6.1	12nuorb
     314	F	HD 62747   	nu12	 2.7990	 0.0020	  1.700	 0.200	 0.330	 0.090	 5.4	11nuorb

